Orthogroup	Fungus_transcripts.fasta.transdecoder	Krisp1_GeneModels_FilteredModels3_aa	Leucosporidium_creatinivorum_proteins_aa	Mereb1_GeneCatalog_proteins_20150713.aa	Micld1_GeneCatalog_proteins_20161101.aa	Mortiella_alpina_proteins_aa	Pseudohyphozyma_borogiensis_proteins_aa	Rhodoturola_mucilaginosa_protein_aa	Rhodoturola_turoloides_protein_aa	Rhoglu1_GeneCatalog_proteins_20160519.aa	Saccharomyces_cerevisae_protein_aa	Sclerotinia_borealis_proteins_aa	Slopil1_GeneCatalog_proteins_20180422.aa	Total
OG0000304	4	4	1	3	2	2	1	2	2	2	1	1	4	29
OG0000305	2	6	2	4	1	1	4	0	1	0	2	2	4	29
OG0000306	2	2	3	3	2	3	1	2	2	2	2	2	3	29
OG0000307	21	1	0	0	1	0	1	2	1	1	0	1	0	29
OG0000308	3	6	3	3	1	0	2	2	2	2	0	2	3	29
OG0000309	3	1	1	3	0	6	5	1	1	1	0	4	3	29
OG0000310	2	8	2	5	2	0	1	1	2	2	0	1	3	29
OG0000311	2	2	2	3	2	4	2	1	2	2	2	3	2	29
OG0000312	3	2	3	4	3	0	1	3	3	3	0	1	3	29
OG0000313	3	5	2	4	1	1	2	1	3	3	0	2	2	29
OG0000314	3	3	2	3	2	4	2	1	2	2	0	2	3	29
OG0000315	2	4	0	2	1	6	5	0	1	1	0	3	4	29
OG0000316	5	19	5	0	0	0	0	0	0	0	0	0	0	29
OG0000317	4	2	3	3	2	0	3	2	4	3	0	0	3	29
OG0000318	6	5	3	2	1	4	1	1	1	1	1	1	2	29
OG0000319	2	7	1	2	1	3	1	1	2	2	2	3	2	29
OG0000320	4	3	2	3	4	0	1	1	1	2	4	1	3	29
OG0000321	2	4	2	3	2	2	3	1	2	2	2	1	3	29
OG0000322	4	13	1	3	2	0	2	1	1	1	0	0	1	29
OG0000323	2	5	3	2	0	2	1	3	2	2	0	0	7	29
OG0000324	4	8	1	3	1	1	1	1	1	1	2	2	3	29
OG0000325	2	4	2	3	2	3	2	2	2	2	2	1	2	29
OG0000326	2	2	2	2	3	3	2	2	2	2	3	2	2	29
OG0000327	3	1	2	1	10	0	1	1	4	4	0	0	2	29
OG0000328	2	2	2	2	2	6	1	1	2	2	3	2	2	29
OG0000329	2	2	2	2	2	2	2	2	2	4	3	2	2	29
OG0000330	2	4	4	4	0	0	3	0	1	1	0	4	6	29
OG0000331	2	4	2	2	2	2	1	1	1	1	1	5	5	29
OG0000332	1	4	2	1	0	0	2	3	4	4	0	3	5	29
OG0000333	1	2	3	2	1	4	3	2	2	2	2	2	3	29
OG0000334	0	18	9	1	0	0	0	0	0	0	0	0	1	29
OG0000335	21	5	0	1	1	0	0	0	0	0	0	0	0	28
OG0000336	1	0	26	0	0	0	0	0	0	0	0	0	1	28
OG0000337	3	2	2	2	3	2	1	2	2	2	1	3	3	28
OG0000338	2	2	2	2	2	4	2	2	2	2	2	2	2	28
OG0000339	3	3	2	2	2	3	0	2	2	2	3	2	2	28
OG0000340	4	1	2	4	4	1	1	1	2	2	1	1	4	28
OG0000341	2	2	2	3	3	5	1	1	2	2	2	1	2	28
OG0000342	2	5	1	3	1	5	2	2	2	2	1	1	1	28
OG0000343	27	1	0	0	0	0	0	0	0	0	0	0	0	28
OG0000344	3	4	3	10	0	0	3	0	0	0	0	0	5	28
OG0000345	2	2	2	2	2	3	2	2	2	2	2	3	2	28
OG0000346	2	11	2	2	0	0	2	1	1	1	0	4	2	28
OG0000347	2	3	2	2	2	3	2	2	2	2	3	2	1	28
OG0000348	6	12	1	1	0	1	2	2	1	1	0	0	1	28
OG0000349	4	4	3	3	2	2	2	0	2	2	0	1	3	28
OG0000350	2	5	6	2	2	0	2	2	3	2	0	2	0	28
OG0000351	5	5	2	4	0	3	3	0	1	1	0	0	4	28
OG0000352	4	8	2	2	1	0	3	1	1	1	3	2	0	28
OG0000353	3	3	2	3	3	7	1	1	1	1	0	1	2	28
OG0000354	2	3	2	2	2	4	1	2	2	3	1	2	2	28
OG0000355	5	5	2	3	2	0	3	1	2	1	0	0	4	28
OG0000356	1	3	2	4	3	3	1	2	2	1	2	2	2	28
OG0000357	2	8	6	1	1	0	7	0	0	0	0	1	2	28
